# What each unit calls its own voice, and for which event.
#
# ident	event	sound name
#
# The six events are the ones the game raises: 'selected' and 'acknowledge'
# when a player clicks a unit and orders it about, 'ready' when it comes out
# of a building, 'help' when it is struck, 'dead' when it falls, and
# 'work-complete' when a building finishes. The name in the third column is a
# name in the sound table, which is where the files live; nothing here names a
# file.
#
# A transcription of the Sounds = {...} blocks in scripts/units.legacy-declaration,
# scripts/human/units.legacy-declaration and scripts/orc/units.legacy-declaration -- 107 units and 398
# bindings, which is all of them. Of the 143 types the roster holds, 121 are
# written out with a Sounds block and fourteen of those blocks are empty; the
# other 22 are the unit-dead-vision-N-M markers that units.legacy-declaration:85 builds in a
# loop, and the loop gives them Sounds = {} too. All 36 are absent from this
# file and have no voice, which is what the scripts give them.
unit-alchemist	selected	goblin-alchemist-selected
unit-alchemist	help	basic orc voices help 2
unit-alchemist	dead	building destroyed
unit-altar-of-storms	selected	altar-of-storms-selected
unit-altar-of-storms	help	basic orc voices help 2
unit-altar-of-storms	dead	building destroyed
unit-archer	selected	archer-selected
unit-archer	acknowledge	archer-acknowledge
unit-archer	ready	archer-ready
unit-archer	help	basic human voices help 1
unit-archer	dead	basic human voices dead
unit-arthor-literios	selected	danath-selected
unit-arthor-literios	acknowledge	danath-acknowledge
unit-arthor-literios	help	basic human voices help 1
unit-arthor-literios	dead	basic human voices dead
unit-attack-peasant	selected	peasant-selected
unit-attack-peasant	acknowledge	peasant-acknowledge
unit-attack-peasant	ready	peasant-ready
unit-attack-peasant	help	basic human voices help 1
unit-attack-peasant	dead	basic human voices dead
unit-attack-peon	selected	peon-selected
unit-attack-peon	acknowledge	peon-acknowledge
unit-attack-peon	ready	peon-ready
unit-attack-peon	help	basic orc voices help 1
unit-attack-peon	dead	basic orc voices dead
unit-axethrower	selected	axethrower-selected
unit-axethrower	acknowledge	axethrower-acknowledge
unit-axethrower	ready	axethrower-ready
unit-axethrower	help	basic orc voices help 1
unit-axethrower	dead	basic orc voices dead
unit-ballista	selected	ballista-selected
unit-ballista	acknowledge	ballista-acknowledge
unit-ballista	ready	ballista-ready
unit-ballista	help	basic human voices help 1
unit-ballista	dead	explosion
unit-ballista-super	selected	ballista-selected
unit-ballista-super	acknowledge	ballista-acknowledge
unit-ballista-super	ready	ballista-ready
unit-ballista-super	help	basic human voices help 1
unit-ballista-super	dead	explosion
unit-balloon	selected	gnomish-flying-machine-selected
unit-balloon	acknowledge	gnomish-flying-machine-acknowledge
unit-balloon	ready	gnomish-flying-machine-ready
unit-balloon	help	basic human voices help 1
unit-balloon	dead	explosion
unit-battleship	selected	battleship-selected
unit-battleship	acknowledge	battleship-acknowledge
unit-battleship	ready	battleship-ready
unit-battleship	help	basic human voices help 1
unit-battleship	dead	ship sinking
unit-beast-cry	selected	grom-hellscream-selected
unit-beast-cry	acknowledge	grom-hellscream-acknowledge
unit-beast-cry	help	basic orc voices help 1
unit-beast-cry	dead	basic orc voices dead
unit-berserker	selected	berserker-selected
unit-berserker	acknowledge	berserker-acknowledge
unit-berserker	ready	berserker-ready
unit-berserker	help	basic orc voices help 1
